name,precision,channels,height,width,size,layers,ops
AlexNet,FP16,3,227,227,121.930448,22,1375413312
CaffeNet,FP16,3,227,227,121.930448,22,1375413312
DenseNet-121,FP16,3,224,224,15.942736,368,5666542080
GoogleNet,FP16,3,224,224,13.997104,142,3165343744
MobileNetV2,FP16,3,224,224,6.975748,104,858222872
R-CNN,FP16,3,227,227,115.375248,21,1368859712
ResNet-101V2,FP16,3,224,224,89.050592,279,15592374272
ResNet-152V2,FP16,3,224,224,120.322528,415,23012601856
ResNet-18V2,FP16,3,224,224,23.371744,62,3627218432
ResNet-50V2,FP16,3,224,224,51.083744,143,8171343872
SqueezeNet,FP16,3,224,224,2.470996,67,698303872
VGG-16,FP16,3,224,224,276.715088,38,30739202048
VGG-19,FP16,3,224,224,287.33448,44,39062798336
YOLOV3-Tiny,FP16,3,416,416,17.698364,35,5564961792
YOLOV3,FP16,3,416,416,123.84569,178,65864075264
AlexNet-conv1,FP16,3,227,227,0.069888,2,210830400
AlexNet-conv2,FP16,3,227,227,0.6848,6,658728000
AlexNet-conv3,FP16,3,227,227,2.45504,10,957768768
AlexNet-conv4,FP16,3,227,227,3.782912,12,1182049344
AlexNet-conv5,FP16,3,227,227,4.66816,14,1331569728
AlexNet-fc6,FP16,3,227,227,80.173824,17,1333666880
AlexNet-fc7,FP16,3,227,227,113.736448,19,1367221312
AlexNet-fc8,FP16,3,227,227,121.930448,21,1375413312
GoogleNet-inception_3b_3x3_reduce,FP16,3,224,224,0.642016,26,1262829568
GoogleNet-inception_4b_3x3_reduce,FP16,3,224,224,2.22096,55,1989679104
GoogleNet-inception_4c_5x5,FP16,3,224,224,3.10592,71,2162886656
GoogleNet-inception_4e_5x5_reduce,FP16,3,224,224,5.269184,97,2586372096
GoogleNet-inception_5b_pool_proj,FP16,3,224,224,9.272192,127,3032336384
GoogleNet-loss3_classifier,FP16,3,224,224,13.997104,141,3165343744
VGG-16-conv2_1,FP16,3,224,224,0.225152,7,5722472448
VGG-16-conv3_1,FP16,3,224,224,1.110656,12,11271536640
VGG-16-conv4_1,FP16,3,224,224,5.831296,19,20519976960
VGG-16-conv4_3,FP16,3,224,224,15.270528,23,27918729216
VGG-16-conv5_3,FP16,3,224,224,29.429376,30,30693261312
VGG-16-fc6,FP16,3,224,224,234.958464,33,30697455616
VGG-16-fc7,FP16,3,224,224,268.521088,35,30731010048
VGG-16-fc8,FP16,3,224,224,276.715088,37,30739202048
AlexNet,FP32,3,227,227,243.860896,22,1375413312
CaffeNet,FP32,3,227,227,243.860896,22,1375413312
DenseNet-121,FP32,3,224,224,31.885472,368,5666542080
GoogleNet,FP32,3,224,224,27.994208,142,3165343744
MobileNetV2,FP32,3,224,224,13.951496,104,858222872
R-CNN,FP32,3,227,227,230.750496,21,1368859712
ResNet-101V2,FP32,3,224,224,178.101184,279,15592374272
ResNet-152V2,FP32,3,224,224,240.645056,415,23012601856
ResNet-18V2,FP32,3,224,224,46.743488,62,3627218432
ResNet-50V2,FP32,3,224,224,102.167488,143,8171343872
SqueezeNet,FP32,3,224,224,4.941992,67,698303872
VGG-16,FP32,3,224,224,553.430176,38,30739202048
VGG-19,FP32,3,224,224,574.66896,44,39062798336
YOLOV3-Tiny,FP32,3,416,416,35.396728,35,5564961792
YOLOV3,FP32,3,416,416,247.69138,178,65864075264
AlexNet-conv1,FP32,3,227,227,243.860896,22,1375413312
AlexNet-conv2,FP32,3,227,227,243.860896,22,1375413312
AlexNet-conv3,FP32,3,227,227,243.860896,22,1375413312
AlexNet-conv4,FP32,3,227,227,243.860896,22,1375413312
AlexNet-conv5,FP32,3,227,227,243.860896,22,1375413312
AlexNet-fc6,FP32,3,227,227,243.860896,22,1375413312
AlexNet-fc7,FP32,3,227,227,243.860896,22,1375413312
AlexNet-fc8,FP32,3,227,227,243.860896,22,1375413312
GoogleNet-inception_3b_3x3_reduce,FP32,3,224,224,27.994208,142,3165343744
GoogleNet-inception_4b_3x3_reduce,FP32,3,224,224,27.994208,142,3165343744
GoogleNet-inception_4c_5x5,FP32,3,224,224,27.994208,142,3165343744
GoogleNet-inception_4e_5x5_reduce,FP32,3,224,224,27.994208,142,3165343744
GoogleNet-inception_5b_pool_proj,FP32,3,224,224,27.994208,142,3165343744
GoogleNet-loss3_classifier,FP32,3,224,224,27.994208,142,3165343744
VGG-16-conv2_1,FP32,3,224,224,553.430176,38,30739202048
VGG-16-conv3_1,FP32,3,224,224,553.430176,38,30739202048
VGG-16-conv4_1,FP32,3,224,224,553.430176,38,30739202048
VGG-16-conv4_3,FP32,3,224,224,553.430176,38,30739202048
VGG-16-conv5_3,FP32,3,224,224,553.430176,38,30739202048
VGG-16-fc6,FP32,3,224,224,553.430176,38,30739202048
VGG-16-fc7,FP32,3,224,224,553.430176,38,30739202048
VGG-16-fc8,FP32,3,224,224,553.430176,38,30739202048
